departure_date,companies,docket_number,docket_term,activity,gas_type,supplier,mode_of_transport,tanker,departure_port,country,volume_mmcf,u_s_contiguous,imo
2017-04-03T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Golar Seal,"Sabine Pass, LA",Kuwait,3429.14,Yes,9624914
2017-04-05T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-111-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Methane Julia Louise,"Sabine Pass, LA",United Arab Emirates,3346.53,Yes,9412880
2017-04-07T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Magellan Spirit,"Sabine Pass, LA",Mexico,3536.64,Yes,9342487
2017-04-08T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Stena Crystal Sky,"Sabine Pass, LA",Mexico,3688.82,Yes,9383900
2017-04-10T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-85-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Ribera del Duero Knutsen,"Sabine Pass, LA",Chile,2951.96,Yes,9477593
2017-04-12T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-85-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Methane Nile Eagle,"Sabine Pass, LA",Mexico,3051.29,Yes,9321770
2017-04-14T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-111-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Creole Spirit,"Sabine Pass, LA",Japan,3681.27,Yes,9681687
2017-04-16T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Cool Voyager,"Sabine Pass, LA",Argentina,3405.7,Yes,9636785
2017-04-17T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-111-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Maria Energy,"Sabine Pass, LA",Japan,3717.19,Yes,9659725
2017-04-19T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-111-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Maran Gas Lindos,"Sabine Pass, LA",Kuwait,3354.96,Yes,9627502
2017-04-20T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-85-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,La Mancha Knutsen,"Sabine Pass, LA",South Korea,3295.1,Yes,9721724
2017-04-24T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Oak Spirit,"Sabine Pass, LA",Argentina,3270.93,Yes,9681699
2017-04-26T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-85-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,SCF Melampus,"Sabine Pass, LA",Mexico,3453.61,Yes,9654878
2017-04-30T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-85-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Gemmata,"Sabine Pass, LA",Chile,2942.3,Yes,9253222
2017-05-01T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Stena Crystal Sky,"Sabine Pass, LA",Brazil,3675.76,Yes,9383900
2017-05-03T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-111-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Maran Gas Sparta,"Sabine Pass, LA",United Arab Emirates,3068.92,Yes,9650042
2017-05-04T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-85-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Torben Spirit,"Sabine Pass, LA",Mexico,3517.46,Yes,9721401
2017-05-06T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Magellan Spirit,"Sabine Pass, LA",China,3514.07,Yes,9342487
2017-05-08T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Cadiz Knutsen,"Sabine Pass, LA",Taiwan,2948.91,Yes,9246578
2017-05-09T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-111-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Maran Gas Amphipolis,"Sabine Pass, LA",United Arab Emirates,3577.49,Yes,9701217
2017-05-12T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Gaslog Chelsea,"Sabine Pass, LA",South Korea,3276.11,Yes,9390185
2017-05-14T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Methane Spirit,"Sabine Pass, LA",South Korea,3541.65,Yes,9336737
2017-05-16T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-85-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Gaslog Shanghai,"Sabine Pass, LA",Mexico,3290.41,Yes,9600528
2017-05-17T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Golar Snow,"Sabine Pass, LA",United Arab Emirates,3415.18,Yes,9635315
2017-05-19T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Maran Gas Alexandria,"Sabine Pass, LA",Argentina,3191.69,Yes,9650054
2017-05-21T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-111-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Arctic Discoverer,"Sabine Pass, LA",Netherlands,3041.58,Yes,9276389
2017-05-22T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Clean Ocean,"Sabine Pass, LA",Poland,3439.98,Yes,9637492
2017-05-25T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-85-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Maran Gas Apollonia,"Sabine Pass, LA",Jordan,3452.87,Yes,9633422
2017-05-26T00:00:00Z,"Sabine Pass Liquefaction, LLC",2015-171-LNG,Short-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Cool Voyager,"Sabine Pass, LA",Kuwait,3280.95,Yes,9636785
2017-05-28T00:00:00Z,"Sabine Pass Liquefaction, LLC",2010-111-LNG,Long-Term,Exports,LNG,"Sabine Pass Liquefaction, LLC",Vessel,Stena Crystal Sky,"Sabine Pass, LA",Japan,3667.11,Yes,9383900
